sequence, count
i 'm, 668
do n't, 593
it 's, 562
you 're, 421
that 's, 302
gon na, 265
i do, 260
ca n't, 238
i 've, 219
rainbow dash, 215
are you, 206
in the, 193
i 'll, 191
and i, 189
of the, 179
to be, 179
we 're, 177
she 's, 175
this is, 168
have to, 167
i was, 152
i have, 146
did n't, 142
what 's, 142
i know, 135
let 's, 135
to the, 135
come on, 133
n't you, 133
but i, 130
've got, 127
pinkie pie, 127
do you, 122
there 's, 119
you know, 119
i think, 117
's a, 117
got ta, 109
a little, 108
if you, 106
i ca, 106
i am, 106
it was, 105
's not, 105
you do, 101
at the, 101
cutie mark, 100
to do, 99
wan na, 95
they 're, 95
princess celestia, 95
i can, 94
it is, 94
thank you, 94
's the, 94
i just, 93
i mean, 93
you can, 91
all the, 90
is n't, 89
need to, 88
for the, 88
to get, 87
you are, 87
oh no, 86
we 'll, 85
did you, 85
have a, 84
i could, 83
'll be, 83
you 've, 82
on the, 81
wo n't, 81
the best, 80
going to, 79
what are, 78
for a, 77
n't know, 77
of course, 76
all of, 76
we 've, 76
is the, 75
i 'd, 75
and the, 74
does n't, 73
's just, 72
you to, 72
he 's, 72
n't have, 72
we have, 71
if i, 71
you have, 71
i did, 71
to make, 70
for you, 70
the most, 70
the princess, 69
'm not, 68
well i, 68
out of, 68
what i, 67
that you, 67
be a, 67
and you, 66
you 'll, 64
what do, 64
apple bloom, 64
we do, 63
all right, 63
of you, 63
in a, 62
know what, 62
that i, 61
oh my, 61
is that, 60
we can, 60
with the, 59
will be, 58
to you, 58
to go, 58
n't be, 57
oh i, 56
think you, 56
that was, 56
a good, 56
i got, 55
you think, 55
'm gon, 55
i guess, 54
you were, 54
but you, 54
're not, 54
i need, 53
just a, 53
would n't, 53
do it, 53
when i, 52
supposed to, 52
na be, 52
see you, 52
'm sorry, 51
i thought, 51
've been, 51
one of, 51
the gala, 51
could n't, 51
who 's, 51
so much, 51
to see, 51
n't worry, 50
was a, 50
what you, 50
're gon, 50
is a, 50
no no, 49
you just, 48
to me, 48
the elements, 48
me to, 47
to help, 47
you see, 47
was n't, 46
's all, 46
you and, 46
so i, 46
you got, 46
twilight sparkle, 46
to have, 46
trying to, 46
we could, 45
time to, 45
of a, 45
of my, 45
and it, 44
is it, 44
think i, 44
and we, 44
i had, 44
make it, 43
want to, 43
in ponyville, 42
n't believe, 42
you should, 42
would be, 41
but it, 41
looks like, 41
cutie marks, 41
would you, 41
have n't, 41
you all, 41
if we, 41
such a, 41
for me, 41
to find, 40
'm sure, 40
we are, 40
like a, 40
are n't, 40
look at, 40
sweetie belle, 40
what is, 40
n't even, 40
and that, 40
way to, 40
are we, 40
a lot, 39
you did, 39
a pony, 39
how about, 39
tell you, 39
i want, 38
did it, 38
's my, 38
back to, 38
up to, 38
you could, 38
right now, 38
what a, 38
tell me, 38
got a, 38
've never, 38
of equestria, 38
of us, 38
get to, 38
let me, 37
's gon, 37
have you, 37
can do, 37
we need, 37
i said, 37
wrap up, 37
a few, 37
's okay, 37
's no, 37
why do, 37
'm so, 37
get a, 36
as a, 36
you want, 36
the grand, 36
like you, 36
was just, 36
i would, 36
about it, 36
to tell, 35
a big, 35
when you, 35
n't want, 35
" ", 35
and then, 35
with me, 35
excuse me, 34
of harmony, 34
can you, 34
be the, 34
is my, 34
i should, 34
your friends, 34
granny smith, 33
my friends, 33
n't get, 33
help me, 33
n't think, 33
the way, 33
you get, 33
winter wrap, 33
you doing, 33
got it, 33
for your, 33
it to, 32
into the, 32
's go, 32
so you, 32
am i, 32
not a, 32
that we, 32
you like, 32
time for, 32
on my, 32
now i, 32
you guys, 32
elements of, 32
going on, 32
but we, 31
to take, 31
what happened, 31
got to, 31
take a, 31
you really, 31
get it, 31
my little, 31
of your, 31
's it, 30
and a, 30
you need, 30
here to, 30
in all, 30
miss cheerilee, 30
i knew, 30
wanted to, 30
's so, 30
you say, 30
of this, 30
're right, 30
the whole, 29
at all, 29
grand galloping, 29
about you, 29
how could, 29
do we, 29
c'm on, 29
the one, 29
must be, 29
's going, 29
dear princess, 29
gabby gums, 29
more than, 29
you ca, 28
about the, 28
