sequence, count
it 's, 351
do n't, 291
i 'm, 231
let 's, 157
we 're, 156
ca n't, 150
that 's, 150
you 're, 149
i 'll, 144
come on, 127
we 'll, 113
are you, 104
what 's, 102
this is, 99
i do, 98
gon na, 96
've got, 94
have to, 90
of the, 87
i 've, 80
they 're, 77
there 's, 77
and i, 77
out of, 77
to be, 77
we 've, 76
in the, 75
we can, 72
to the, 70
flutter ponies, 67
to do, 67
i think, 64
do you, 62
did n't, 61
's the, 59
got to, 59
yeah yeah, 58
's go, 57
you can, 57
i have, 57
to get, 56
i can, 56
back to, 56
wo n't, 56
all right, 56
going to, 56
's a, 55
little ponies, 55
n't know, 54
it is, 52
we do, 51
do it, 51
what are, 49
oh no, 49
no no, 48
i ca, 48
if you, 48
but i, 48
get the, 47
we have, 47
and the, 47
he 's, 47
it was, 46
thank you, 45
got ta, 45
will be, 45
the sunstone, 44
want to, 44
flutter valley, 43
n't you, 43
's not, 42
knight shade, 42
you 'll, 41
you 've, 41
you do, 41
you have, 39
i just, 39
i know, 39
of course, 39
i was, 38
paradise estate, 38
to go, 38
i did, 38
get out, 37
if we, 37
'll be, 37
the flutter, 37
of here, 37
she 's, 37
i am, 37
wan na, 36
have a, 36
and we, 36
all the, 36
way to, 36
for you, 34
's going, 34
wind whistler, 34
get it, 34
the way, 33
you are, 33
is n't, 33
you think, 32
i guess, 32
can do, 32
i thought, 32
n't be, 32
oh i, 31
is it, 31
'll get, 31
to find, 31
are we, 31
the magic, 30
you to, 30
and you, 30
this way, 30
of you, 29
must be, 29
what do, 29
in a, 29
a little, 29
the little, 28
but we, 28
we could, 28
with the, 28
what is, 28
oh my, 28
ice cream, 28
're gon, 28
n't have, 27
morning glory, 27
does n't, 27
i 'd, 27
but you, 27
we ca, 26
you know, 26
well i, 26
the rainbow, 26
is the, 26
make it, 26
a good, 26
the ponies, 26
heart throb, 26
is a, 26
let me, 25
i wish, 25
do something, 25
's right, 25
for the, 25
'll never, 25
we need, 25
come back, 25
're not, 25
's get, 25
to make, 24
did it, 24
the rest, 24
i could, 24
from the, 24
going on, 24
what i, 23
did you, 23
look at, 23
i want, 23
that was, 23
that way, 23
help us, 23
we got, 23
north star, 23
you did, 23
rest of, 23
do we, 23
's all, 23
for a, 23
you ca, 22
to you, 22
you see, 22
have you, 22
you all, 22
's it, 22
got it, 22
looks like, 22
n't do, 22
help me, 22
to me, 22
what happened, 22
the other, 21
'll have, 21
where are, 21
with you, 21
happened to, 21
on the, 21
oh boy, 21
who are, 21
i mean, 21
'm not, 21
like a, 21
we 'd, 21
i say, 21
do that, 21
's no, 21
to see, 21
'm sorry, 21
've been, 21
what you, 21
was a, 20
a way, 20
you want, 20
'll take, 20
give it, 20
be the, 20
one of, 20
rainbow of, 20
no more, 19
know what, 19
i will, 19
n't want, 19
i got, 19
n't worry, 19
time to, 19
'd better, 19
they 'll, 19
na be, 19
's that, 19
was n't, 19
to help, 19
of light, 19
how to, 19
magic wands, 19
be a, 19
like it, 18
with us, 18
it to, 18
into the, 18
is not, 18
think you, 18
i need, 18
if i, 18
the only, 18
just a, 18
your help, 18
dream valley, 18
it would, 18
's okay, 18
's just, 18
see you, 18
no time, 17
think i, 17
for your, 17
can you, 17
is that, 17
you mean, 17
can i, 17
's too, 17
go back, 17
so you, 17
we get, 17
you doing, 17
you were, 17
with me, 17
there are, 17
but what, 17
me to, 17
go away, 17
of this, 17
help you, 17
have n't, 17
sweet stuff, 17
your bumbleness, 16
to paradise, 16
you must, 16
we should, 16
and it, 16
a minute, 16
're going, 16
the sun, 16
be careful, 16
think we, 16
the moochick, 16
oh yeah, 16
there is, 16
when you, 16
mr. moochick, 16
the others, 16
they are, 16
what we, 16
to have, 16
na do, 16
all this, 16
to stop, 15
follow me, 15
the stonebacks, 15
and get, 15
right now, 15
baby cuddles, 15
've done, 15
it looks, 15
back in, 15
the power, 15
of ponyland, 15
that is, 15
we did, 15
what a, 15
get to, 15
's so, 15
to us, 15
wait a, 15
'm sure, 15
of my, 15
you got, 15
of us, 15
'll find, 15
'm so, 15
look out, 14
time for, 14
it will, 14
the witches, 14
you and, 14
think of, 14
away from, 14
shoo-bee-doo shoop-shoop-bee-doo, 14
got a, 14
it does, 14
up to, 14
but it, 14
that the, 14
in there, 14
now i, 14
do with, 14
find a, 14
of it, 14
we go, 14
like this, 14
my little, 14
who 's, 14
just do, 14
n't think, 14
you go, 14
all of, 14
can get, 14
in ponyland, 14
trying to, 14
have the, 14
bad luck, 14
find it, 13
for it, 13
think it, 13
is no, 13
around here, 13
as i, 13
looking for, 13
do is, 13
you say, 13
to flutter, 13
take it, 13
's got, 13
like you, 13
n't let, 13
you will, 13
'm gon, 13
where is, 13
oh it, 13
i hope, 13
baby ribbon, 13
in here, 13
well it, 13
n't mean, 13
's see, 13
would n't, 13
tried to, 13
megan and, 13
what about, 13
're so, 13
the last, 13
the baby, 13
you could, 13
go to, 13
waiting for, 13
you like, 13
of your, 13
of darkness, 13
if only, 12
's gon, 12
have been, 12
's wrong, 12
over here, 12
're the, 12
ponies are, 12
could n't, 12
let us, 12
the horseshoe, 12
the most, 12
you just, 12
can we, 12
give up, 12
can find, 12
no one, 12
my friends, 12
we are, 12
know it, 12
come with, 12
are they, 12
's my, 12
newborn twins, 12
into a, 12
play with, 12
this place, 12
is your, 12
maybe i, 12
now let, 12
to work, 12
we were, 12
could be, 12
think they, 12
able to, 12
're rich, 12
're all, 12
now we, 12
after all, 12
should be, 12
where you, 12
'll just, 12
tell you, 12
down there, 12
maybe we, 12
no i, 12
what if, 12
for me, 12
why do, 12
an idea, 12
we wo, 12
how do, 12
n't believe, 12
but the, 12
the land, 12
think so, 12
'm going, 12
the castle, 11
the whole, 11
now what, 11
the princess, 11
be able, 11
power of, 11
on you, 11
we just, 11
go on, 11
ponies and, 11
get back, 11
would you, 11
n't wan, 11
that you, 11
good idea, 11
there it, 11
it back, 11
over there, 11
a long, 11
n't get, 11
just like, 11
find the, 11
that we, 11
be in, 11
like to, 11
am i, 11
oh yes, 11
mean it, 11
to play, 11
oh dear, 11
with them, 11
get away, 11
this time, 11
all you, 11
i should, 11
n't give, 11
only one, 11
well that, 11
it up, 11
we going, 11
to them, 11
i must, 11
's working, 11
to keep, 11
not a, 11
can be, 11
where we, 11
have any, 11
and he, 11
and they, 11
your friends, 11
at the, 11
're here, 11
are n't, 11
like the, 11
into glass, 11
baby ponies, 11
n't go, 11
do anything, 11
and then, 10
come to, 10
i wonder, 10
not so, 10
my friend, 10
up there, 10
i said, 10
here it, 10
he is, 10
the big, 10
need your, 10
like that, 10
a new, 10
can fly, 10
a lot, 10
is this, 10
right away, 10
and there, 10
's nothing, 10
now you, 10
some more, 10
kind of, 10
take a, 10
as you, 10
you really, 10
to my, 10
n't see, 10
's still, 10
you need, 10
them to, 10
we better, 10
true love, 10
we gon, 10
where 's, 10
tell 'em, 10
make a, 10
a dragon, 10
have some, 10
all that, 10
go get, 10
when we, 10
thought you, 10
no way, 10
and that, 10
wish i, 10
to say, 10
