sequence, count
i do n't, 77
let 's go, 57
i ca n't, 48
do n't know, 46
we 've got, 45
've got to, 43
out of here, 37
the flutter ponies, 36
i 've got, 33
what are you, 30
it 's a, 29
we do n't, 28
get out of, 28
're gon na, 28
it 's the, 26
the little ponies, 26
we ca n't, 26
do n't you, 25
we have to, 25
let 's get, 25
yeah yeah yeah, 24
the rest of, 23
that 's it, 22
you ca n't, 22
no no no, 22
's going on, 21
what 's going, 21
you do n't, 21
i 'm not, 21
i 'm sorry, 21
it 's not, 20
i did n't, 20
what do you, 19
do n't worry, 19
who are you, 18
we 'll have, 18
i 'll take, 17
i 'll get, 17
we 're gon, 17
do you think, 16
rainbow of light, 16
do n't want, 16
to paradise estate, 16
what 's the, 15
gon na be, 15
i 'm so, 15
you 've got, 15
are you doing, 15
i 'm sure, 15
what is it, 15
do n't have, 15
've got ta, 15
the rainbow of, 14
have to do, 14
do n't think, 14
i have to, 14
you have to, 14
it 's just, 14
gon na do, 14
to get the, 13
you can do, 13
the magic wands, 13
got to get, 13
let 's see, 13
what are we, 13
'm gon na, 13
n't want to, 13
i 'm gon, 13
you 're not, 13
'll have to, 12
way to go, 12
we wo n't, 12
wo n't be, 12
and i 'll, 12
we 're rich, 12
it 's too, 12
and i 'm, 12
just do n't, 12
it does n't, 12
i think we, 12
i 'm going, 12
there 's no, 12
think it 's, 12
that 's right, 12
to be a, 12
's gon na, 12
wait a minute, 12
to flutter valley, 12
what happened to, 12
've got a, 12
we 'll never, 12
a way to, 12
we got ta, 12
oh it 's, 11
back to paradise, 11
go back to, 11
can do it, 11
i think i, 11
we 'll get, 11
it 's okay, 11
we 're going, 11
it 's working, 11
n't wan na, 11
what 's wrong, 11
now let 's, 11
get the sunstone, 11
that 's all, 11
be able to, 11
's going to, 11
we 'll be, 11
why do n't, 11
i just do, 10
we can do, 10
i want to, 10
we 'd better, 10
you 're gon, 10
to do is, 10
what 's that, 10
i 've been, 10
we gon na, 10
out of the, 10
do n't be, 10
how do we, 9
'll get it, 9
rest of the, 9
to see you, 9
rich we 're, 9
there it is, 9
rest of you, 9
it 's so, 9
ca n't do, 9
you all right, 9
there 's nothing, 9
we 'll find, 9
are we going, 9
let 's do, 9
i 've never, 9
have to get, 9
we 're trapped, 9
're rich we, 9
got ta get, 9
it 's almost, 9
i have a, 9
it looks like, 9
where are you, 9
i think it, 9
this is n't, 9
's the matter, 9
that 's not, 9
that 's the, 9
's got to, 8
no time for, 8
the land of, 8
get back to, 8
have to find, 8
if we can, 8
are you going, 8
have to go, 8
need your help, 8
i 'll be, 8
are you all, 8
come with me, 8
on let 's, 8
you wo n't, 8
're going to, 8
we did it, 8
you 've done, 8
there 's still, 8
the power of, 8
i got it, 8
we 've been, 8
that 's what, 8
i 'm afraid, 8
i 'm the, 8
going to do, 8
come on let, 8
going on here, 8
you 're a, 8
back to normal, 8
do we do, 8
but i 'm, 8
a good deed, 8
we can find, 8
got to be, 8
there must be, 8
that 's where, 8
do n't wan, 8
i have an, 8
ca n't you, 8
it 's all, 8
but there 's, 8
have an idea, 8
find a way, 8
what was that, 8
it wo n't, 8
megan and the, 8
one of the, 8
i thought you, 7
of course i, 7
please do n't, 7
'm going to, 7
have you seen, 7
i 'm a, 7
shoop-shoop-bee-doo shoo-bee-doo shoop-shoop-bee-doo, 7
do n't get, 7
and it 's, 7
i guess i, 7
gon na have, 7
there they are, 7
and i will, 7
you 'll be, 7
n't know what, 7
you did it, 7
i wish i, 7
used to be, 7
for your help, 7
it ca n't, 7
you think you, 7
got ta find, 7
they 're not, 7
's do it, 7
take care of, 7
to do with, 7
do n't believe, 7
realm of darkness, 7
it is n't, 7
let us go, 7
glad to see, 7
i 'll try, 7
it 's me, 7
and this is, 7
the realm of, 7
this is your, 7
oh this is, 7
n't give up, 7
i 'll just, 7
we can get, 7
look at that, 7
flutter valley will, 7
i mean it, 7
you 're so, 7
'll never get, 7
did n't mean, 7
shoo-bee-doo shoop-shoop-bee-doo shoo-bee-doo, 7
i guess we, 7
do n't like, 7
the princess ponies, 7
they wo n't, 7
just a little, 7
it 's no, 7
i told you, 7
baby heart throb, 7
the baby ponies, 7
i wo n't, 6
we 're here, 6
the sunstone back, 6
to be the, 6
do n't go, 6
and i ca, 6
do n't understand, 6
it was n't, 6
the sun is, 6
i was just, 6
the heart of, 6
got ta be, 6
learn how to, 6
okay let 's, 6
there is no, 6
thank you for, 6
it was a, 6
the baby seaponies, 6
what to do, 6
've got it, 6
it 's hard, 6
i think you, 6
you 're right, 6
do n't do, 6
to help us, 6
land of legends, 6
the volcano of, 6
must be something, 6
are we gon, 6
what about the, 6
's go to, 6
's still time, 6
think you 're, 6
you going to, 6
then let 's, 6
'll always be, 6
'll get the, 6
but you 're, 6
'll take you, 6
i have n't, 6
's almost sunset, 6
to play with, 6
so you can, 6
what do we, 6
i 'll go, 6
we going to, 6
oh come on, 6
ca n't catch, 6
well i guess, 6
if we do, 6
to do something, 6
volcano of gloom, 6
'll find a, 6
just have to, 6
that 's enough, 6
you did n't, 6
worth a try, 6
why did you, 6
does n't look, 6
you gon na, 6
give it to, 6
do you want, 6
i know it, 6
all of ponyland, 6
are you sure, 6
a lot of, 6
it 's getting, 6
ca n't fly, 6
know how to, 6
i wan na, 6
n't have any, 6
we 're sorry, 5
that 's how, 5
'll be back, 5
if i can, 5
our magic wands, 5
you doing here, 5
'll take care, 5
going to make, 5
do n't give, 5
this is no, 5
it 's like, 5
there 's a, 5
i did it, 5
my name is, 5
i knew it, 5
n't mean to, 5
that 's a, 5
you come with, 5
all you have, 5
know what to, 5
flutter ponies are, 5
're looking for, 5
what am i, 5
that 's why, 5
think we 're, 5
we 're looking, 5
the only thing, 5
i 've done, 5
's our only, 5
are we waiting, 5
's get out, 5
you 're doing, 5
you 'll see, 5
n't do that, 5
get to the, 5
well i 'm, 5
for you to, 5
well of course, 5
the other half, 5
we have a, 5
get it back, 5
in the world, 5
where you 're, 5
what 's happened, 5
you see i, 5
she hates me, 5
did n't really, 5
to make it, 5
it 's my, 5
n't do this, 5
get away from, 5
looking for a, 5
will be no, 5
na have to, 5
going to be, 5
maybe i can, 5
wan na play, 5
as soon as, 5
're trying to, 5
the sunstone and, 5
back to flutter, 5
gon na get, 5
my true love, 5
to tell you, 5
all of you, 5
bumble and her, 5
it 's safe, 5
do n't let, 5
's wrong with, 5
the power to, 5
one of us, 5
can i help, 5
is gon na, 5
this is the, 5
to help you, 5
'll find it, 5
do you know, 5
you 're going, 5
i 'll do, 5
as long as, 5
n't do it, 5
run for it, 5
we waiting for, 5
now it 's, 5
and i 've, 5
we 're not, 5
they 're all, 5
know it 's, 5
and there 's, 5
ca n't believe, 5
how to be, 5
it will be, 5
of the flutter, 5
why are you, 5
i need more, 5
i think they, 5
what have we, 5
's all right, 5
this is so, 5
know what 's, 5
maybe we should, 5
come on you, 5
it 's time, 5
so that 's, 5
" it ", 5
you do that, 5
is no time, 5
around here somewhere, 5
n't do anything, 5
go with you, 5
and the others, 5
what is this, 5
they ca n't, 5
but it 's, 5
valley will be, 5
have to be, 5
he loves me, 5
you 're my, 5
should be queen, 5
way out of, 5
them to the, 5
us out of, 5
let 's play, 5
the crab nasties, 5
's worth a, 5
paradise estate and, 4
happened to the, 4
i know i, 4
no time to, 4
not gon na, 4
heart throb and, 4
oh i 'm, 4
wo n't let, 4
a good idea, 4
a matter of, 4
you got it, 4
i can make, 4
we 'll just, 4
happened to them, 4
there 's only, 4
and we have, 4
i 've always, 4
never seen a, 4
ca n't give, 4
wait for me, 4
get ready to, 4
ponyland into glass, 4
thought you were, 4
my little ponies, 4
did n't see, 4
could n't have, 4
and your friends, 4
heart of ponyland, 4
of the magic, 4
we just have, 4
here it is, 4
not so fast, 4
to worry about, 4
his elevated eminence, 4
this is not, 4
of course we, 4
am i going, 4
be a way, 4
be around here, 4
n't believe it, 4
well what are, 4
